merged_labels,Age,Edu,Income,WebPurchase,WebVisit,Perdeal,Monetary
0A,35.55020080321285,15.835341365461847,49629.81793842035,51.02008032128514,5.310575635876841,48.91298527443106,104.5863453815261
0B,35.81478260869565,16.55217391304348,51181.40173913044,53.004347826086956,5.66695652173913,49.076521739130435,115.27391304347826
0C,40.62756849315068,17.186643835616437,57283.9426369863,52.903253424657535,5.797089041095891,45.79537671232877,149.38698630136986
1A,36.329787234042556,15.752659574468085,50980.69015957447,49.433510638297875,6.449468085106383,47.890957446808514,257.8151595744681
1B,36.653946227233305,16.477883781439722,52354.49089332177,52.08065915004337,6.759757155247181,47.479618386817,264.6843018213356
1C,41.45015105740181,17.169939577039276,58404.723564954686,52.42522658610272,6.8444108761329305,46.527190332326285,321.6019637462236
2A,63.26819923371647,15.954022988505747,95781.4367816092,27.65134099616858,4.118773946360153,6.5440613026819925,1391.4904214559388
2B,67.1548946716233,16.89714993804213,100283.41511771995,21.983890954151178,3.5898389095415117,5.070631970260223,1613.3382899628252
2C,63.73654390934844,17.545325779036826,96452.96033994334,28.281869688385267,4.542492917847025,7.182719546742209,1513.1558073654392
3A,63.14545454545455,15.836363636363636,96304.94545454545,26.683636363636364,2.941818181818182,6.36,1042.9636363636364
3B,66.45724465558195,16.8729216152019,99435.34916864608,23.317102137767222,2.682897862232779,5.694774346793349,1190.1294536817102
3C,63.541613316261206,17.46222791293214,95417.85915492958,28.891165172855313,3.5172855313700384,7.859154929577465,1132.7925736235595
